date,Actuator Z Position,Motor Z Current,Motor Y Temperature,Motor Z Temperature,Nut Y Temperature,Ambient Temperature,Motor Y Voltage
2010-09-03 09:04:54.000,37.653623,0.345986,24.155163,22.411853,24.787504,22.515413,1.720853
2010-09-03 09:04:54.010,37.575543,0.336406,22.253051,23.284312,23.680352,22.525078,-0.393674
2010-09-03 09:04:54.020,37.912707,0.404336,23.521976,23.601171,23.521976,22.515413,-0.04629
2010-09-03 09:04:54.030,37.717506,0.342502,23.59796,21.61408,23.59796,22.521856,5.136298
2010-09-03 09:04:54.040,37.969492,0.337277,23.835466,22.567385,23.756311,22.518634,5.236476
2010-09-03 09:04:54.050,38.17534,0.282411,23.993738,22.726081,23.518765,22.515413,5.132168
2010-09-03 09:04:54.060,38.01563,0.453977,24.550475,22.332459,23.601171,22.512191,4.693251
2010-09-03 09:04:54.070,38.157594,0.278056,24.540862,22.243391,23.274674,22.512191,4.78774
2010-09-03 09:04:54.080,38.473464,0.315505,24.863285,21.773098,23.2811,22.512191,5.032571
2010-09-03 09:04:54.090,38.597682,0.433947,24.151956,23.518765,23.439556,22.512191,-0.365445
2010-09-03 09:04:54.100,38.700606,0.05859,24.632701,23.921026,24.000153,22.521856,-0.918093
2010-09-03 09:04:54.110,38.7219,0.275443,24.385979,23.277887,24.62309,22.515413,0.613411
2010-09-03 09:04:54.120,38.913551,0.327697,24.151956,22.408635,24.626294,22.512191,3.777848
2010-09-03 09:04:54.130,39.073261,0.300699,24.306916,22.802194,23.198638,22.515413,4.37241
2010-09-03 09:04:54.140,39.176184,0.328568,23.357122,23.198638,24.227839,22.512191,4.432259
2010-09-03 09:04:54.150,39.374934,0.385176,23.841884,22.811842,23.841884,22.515413,4.071928
2010-09-03 09:04:54.160,39.538192,0.296345,24.155163,21.458233,24.39239,22.521856,3.229106
2010-09-03 09:04:54.170,39.453014,0.507973,23.433133,23.433133,23.512343,22.515413,-0.62379
2010-09-03 09:04:54.180,39.988927,0.282411,23.914609,23.756311,24.310121,22.512191,-0.931643
2010-09-03 09:04:54.190,40.184127,0.302441,24.072853,24.072853,23.12259,22.515413,-1.525461
2010-09-03 09:04:54.200,40.102498,0.436559,23.749892,22.322801,24.619887,22.518634,3.034871
2010-09-03 09:04:54.210,40.460956,0.325085,24.066439,22.402197,24.066439,22.518634,3.781392
2010-09-03 09:04:54.220,40.801669,0.457461,23.677142,22.011525,25.100158,22.518634,3.858156
2010-09-03 09:04:54.230,41.057203,0.394756,23.914609,22.011525,24.389184,22.518634,4.056418
2010-09-03 09:04:54.240,41.128185,0.45659,23.756311,22.329239,24.547271,22.515413,4.373949
2010-09-03 09:04:54.250,41.468898,0.372984,23.046529,22.88794,23.680352,22.518634,-0.457936
2010-09-03 09:04:54.260,41.756374,0.34947,23.829048,23.591539,24.382774,22.515413,-1.301064
2010-09-03 09:04:54.270,42.338424,0.226673,23.274674,24.224633,23.433133,22.515413,-1.523212
2010-09-03 09:04:54.280,42.274541,0.377338,24.465029,23.673932,24.306916,22.518634,-0.405842
2010-09-03 09:04:54.290,42.593959,0.376467,23.673932,22.802194,23.59475,22.512191,3.487173
2010-09-03 09:04:54.300,42.888533,0.34947,24.39239,22.332459,23.917817,22.515413,4.182124
2010-09-03 09:04:54.310,43.179558,0.410432,24.626294,21.455008,23.914609,22.518634,4.064246
2010-09-03 09:04:54.320,43.59835,0.33989,24.231045,21.932063,22.964026,22.518634,5.127621
2010-09-03 09:04:54.330,43.885826,0.357308,24.310121,22.090974,23.59796,22.521856,4.741096
2010-09-03 09:04:54.340,44.123615,0.303312,23.835466,22.170409,24.072853,22.525078,-0.145336
2010-09-03 09:04:54.350,44.393345,0.401723,22.798978,23.749892,23.829048,22.518634,-0.843225
2010-09-03 09:04:54.360,44.773097,0.412174,24.547271,23.12259,24.547271,22.515413,-1.275636
2010-09-03 09:04:54.370,45.088966,0.33989,23.0401,22.643523,23.673932,22.518634,3.013428
2010-09-03 09:04:54.380,45.394187,0.332923,23.357122,22.484798,23.515554,22.512191,4.256127
2010-09-03 09:04:54.390,45.631976,0.332923,24.319739,23.290738,23.369971,22.521856,4.885075
